"CAINC1 County personal income summary: personal income, population, per capita personal income"
"CAINC1 County personal income summary: personal income, population, per capita personal income"
County
GeoFIPS,GeoName,2007,2008,2009,2010,2011,2012,2013,2014,2015
05145,"White, AR",26589,28732,28429,29696,30659,31658,31627,32695,33082
05147,"Woodruff, AR",24379,28479,26441,27608,30027,33250,37886,35829,33866
05149,"Yell, AR",24589,25295,23650,24862,26133,26938,28980,31482,31836
06001,"Alameda, CA",47750,48349,45893,47624,50425,52286,54120,56999,61610
06003,"Alpine, CA",35410,37726,38420,41831,53893,56094,54361,60930,63357
06005,"Amador, CA",32783,33890,33042,34327,34844,35629,36365,37923,39750
06007,"Butte, CA",31301,31806,31868,32994,33669,34536,35366,36600,39347
06009,"Calaveras, CA",35107,36079,35585,36743,37521,37411,37754,39761,42693
06011,"Colusa, CA",32112,38177,40740,40294,40311,36667,39497,34839,39266
06013,"Contra Costa, CA",57499,58263,53921,53630,57220,61049,60376,62371,67047
06015,"Del Norte, CA",24715,25857,25993,27355,28190,28587,29538,31466,33056
06017,"El Dorado, CA",46762,48203,46674,48230,50368,52427,53847,56231,58842
06019,"Fresno, CA",30293,30454,30176,31181,32667,33284,34420,36379,38288
06021,"Glenn, CA",29216,29994,30925,32114,34053,34952,37910,36444,38923
06023,"Humboldt, CA",32246,32816,33085,35491,35896,36189,36748,38337,40612
06025,"Imperial, CA",26270,28108,27867,29124,31225,31427,32625,33756,36118
06027,"Inyo, CA",39553,42280,41363,42443,43611,45312,45771,48563,50928
06029,"Kern, CA",28861,29194,28590,30669,32140,33729,34301,36164,36534
06031,"Kings, CA",26563,25479,24494,26345,29313,28635,29655,32830,32758
06033,"Lake, CA",29238,29594,29672,31079,31435,31987,32606,34171,35763
06035,"Lassen, CA",24905,26750,26202,27583,28253,28144,28552,29550,31161
06037,"Los Angeles, CA",41765,42732,41229,42794,45437,48072,47537,50047,53061
06039,"Madera, CA",26800,26478,25595,28122,29346,30915,32088,33822,34349
06041,"Marin, CA",88333,89322,81770,83245,89199,94979,95459,102019,109260
06043,"Mariposa, CA",33037,34105,34556,36244,36741,37669,38323,40816,43709
06045,"Mendocino, CA",33603,34438,34822,37856,37650,37248,37861,40051,41674
06047,"Merced, CA",27971,26809,26855,27985,29816,30245,31488,34236,35164
06049,"Modoc, CA",30145,33033,34678,35088,36351,36296,37622,40660,42423
06051,"Mono, CA",37698,39089,38355,40528,41156,40317,41169,42699,44095
