GeoFIPS,GeoName,2001,2002,2003,2004,2005,2006
12001,"Alachua, FL",9994813,10320581,10423925,11381436,11632885,11902203
12003,"Baker, FL",468201,487070,494519,518311,534961,538527
12005,"Bay, FL",6146349,6565670,6882149,7522208,8018443,8243569
12007,"Bradford, FL",609489,625011,650422,679215,682858,685021
12009,"Brevard, FL",16261511,16913264,18186850,19794433,21203479,22053316
12011,"Broward, FL",74196739,77517633,82117012,87382581,93008956,95315936
12013,"Calhoun, FL",258401,250073,255311,249708,252521,253175
12015,"Charlotte, FL",3964650,4235410,4439312,4776583,5213292,5132665
12017,"Citrus, FL",3758730,3868159,4018945,4283916,4469725,4804308
12019,"Clay, FL",3246838,3497793,3713764,4008594,4286501,4444713
12021,"Collier, FL",13482225,14304083,15115052,15883648,17337771,17546833
12023,"Columbia, FL",1722335,1813995,1807030,1874991,1952472,2020460
12027,"DeSoto, FL",735424,749838,766898,799978,896031,984268
12029,"Dixie, FL",221178,227182,220750,226453,245341,244200
12031,"Duval, FL",47882737,49157448,51618554,53974769,55986323,57720506
12033,"Escambia, FL",12932504,13058438,13390389,13873495,14229139,14536431
12035,"Flagler, FL",1370992,1559731,1852194,1888518,1992470,2061307
12037,"Franklin, FL",316627,335868,357746,400158,401442,368195
12039,"Gadsden, FL",1122303,1199683,1242043,1270718,1309295,1283781
12041,"Gilchrist, FL",228596,211140,215761,245839,241512,236179
12043,"Glades, FL",203588,228453,235959,257343,234396,261569
12045,"Gulf, FL",330272,346905,370961,401056,414374,407033
12047,"Hamilton, FL",365750,356031,406798,458147,420792,406511
12049,"Hardee, FL",721018,899265,879312,912550,1007873,1054598
12051,"Hendry, FL",1280536,1433757,1321067,1228863,1314716,1568341
12053,"Hernando, FL",2807265,3054297,3258341,3514031,3777564,3838917
12055,"Highlands, FL",1954935,2110005,2182828,2328939,2509477,2725396
12057,"Hillsborough, FL",57078725,59713883,63297712,68528853,72449580,74179027
12059,"Holmes, FL",343012,344520,347162,366030,365346,358626
12061,"Indian River, FL",4281416,4580695,4904097,5247863,5669939,5696946
12063,"Jackson, FL",1156714,1238617,1327512,1362414,1425148,1453150
12065,"Jefferson, FL",228570,237768,252432,265253,252407,252686
12067,"Lafayette, FL",141284,116838,129035,152890,139869,127729
12069,"Lake, FL",6189968,6503134,6969195,7646004,8288643,8815711
12071,"Lee, FL",18766789,20330567,22454444,25534982,27874663,29948499
12073,"Leon, FL",13076690,13434798,13697322,14222101,14217170,14195678
12075,"Levy, FL",698923,716836,744421,767618,820847,787750
12077,"Liberty, FL",157891,173394,184166,188164,200883,214779
12079,"Madison, FL",404883,391715,395867,413462,404606,415900
12081,"Manatee, FL",10088416,11045299,11541598,12669928,14204765,15001418
12083,"Marion, FL",7085063,7454844,7982158,8518599,9191556,9887822
12085,"Martin, FL",6098442,6276955,6494444,6967335,7597446,8139374
12086,"Miami-Dade, FL",113811344,117746794,120299016,127108939,132479182,136982466
12087,"Monroe, FL",3969155,4099702,4234034,4409567,4535878,4489746
12089,"Nassau, FL",1844351,1936453,1964354,2078397,2127249,2236397
12091,"Okaloosa, FL",7974122,8620659,9318343,10218906,10749320,10708894
12093,"Okeechobee, FL",853608,913318,957453,1067652,1150198,1041600
12095,"Orange, FL",61089917,62882517,66197464,70967023,75502236,77637414
12097,"Osceola, FL",5486719,6055958,6464473,7003876,7697764,7784536
12099,"Palm Beach, FL",58806178,61392186,64165275,67262439,72283963,73246432
12101,"Pasco, FL",7424220,8043299,8644975,9357491,10005920,10818156
12103,"Pinellas, FL",40389513,41754025,42984205,44571825,46227658,46832528
12105,"Polk, FL",18457509,19076837,19702588,20689807,21881068,22616625
12107,"Putnam, FL",2352624,2377943,2446106,2469485,2530744,2685965
12109,"St. Johns, FL",4588425,4762486,5042167,5457825,5938121,6322226
12111,"St. Lucie, FL",5826907,6312847,6642171,7567484,8221630,8835427
12113,"Santa Rosa, FL",2736666,2904595,3073347,3296584,3503430,3666433
12115,"Sarasota, FL",13712620,14824432,15740633,17417293,18619718,18708599
12117,"Seminole, FL",14245309,14892881,15564724,16711417,18666242,19412225
12119,"Sumter, FL",1030503,1133406,1330773,1410318,1622953,1793843
12121,"Suwannee, FL",885092,852474,858017,892329,885275,917228
12123,"Taylor, FL",659564,690741,680342,703873,711172,713161
12125,"Union, FL",321330,325990,341018,350191,347715,348988
12127,"Volusia, FL",13193548,14183555,15208258,16773317,17236975,17781399
12129,"Wakulla, FL",595160,554449,566935,574945,602593,632759
12131,"Walton, FL",1389920,1495279,1684166,2003788,2325225,2370292
12133,"Washington, FL",500747,514472,523651,552965,601500,597586
13001,"Appling, GA",1070715,1019253,1092003,1173554,1097196,1120194
13003,"Atkinson, GA",162277,162676,174519,175842,188608,192461
13005,"Bacon, GA",288079,258710,271827,280041,293387,286052
13007,"Baker, GA",85135,93830,98140,82970,95498,96419
