GeoFIPS,GeoName,2007,2008,2009,2010,2011,2012,2013,2014,2015
06095,"Solano, CA",18622478,20283407,19506629,19525555,18858321,20537932,21595510,21777515,22077408
06097,"Sonoma, CA",24262255,24112663,23049293,23744974,24211761,24729966,25403056,26431958,27693872
06099,"Stanislaus, CA",19706375,19117205,18863423,19014237,18963019,18692433,18926529,20164828,20967459
06101,"Sutter, CA",3384828,3719483,3905209,3613524,3310572,3158804,3270939,3108478,3282597
06103,"Tehama, CA",1688061,1580861,1563087,1666055,1624387,1626900,1680855,1767052,1774334
06105,"Trinity, CA",365651,358199,336077,382431,401963,385015,391092,380181,365641
06107,"Tulare, CA",14624649,13815747,12622564,13947483,14438491,13741919,14039836,15713728,15809561
06109,"Tuolumne, CA",2417989,2357542,2255875,2384417,2535427,2188505,2168522,2128541,2195073
06111,"Ventura, CA",59025486,54095039,53813657,53517947,50599745,49785812,50380642,50081745,50376211
06113,"Yolo, CA",12001509,12056502,11535085,11318089,11585911,11695460,12183328,12665705,13452602
06115,"Yuba, CA",2561887,2660591,2707581,2709494,2849855,2815429,2919556,2795079,2800154
08001,"Adams, CO*",18236453,20359149,19636741,19683736,19765507,19952136,20925981,22710445,23652035
08003,"Alamosa, CO",604686,627872,643084,617780,636568,610489,618319,609007,661373
08005,"Arapahoe, CO",37256028,34924775,33494559,34835430,36415807,37331202,40085819,42001104,43835384
08007,"Archuleta, CO",430737,442756,451490,430481,436469,439046,456366,462622,485755
08009,"Baca, CO",176787,167073,258925,213041,194030,120682,167457,130035,105032
08011,"Bent, CO",152393,161434,173027,164083,168349,139121,148068,136377,133767
08013,"Boulder, CO*",20382046,21221972,20845499,21408038,21612543,21752634,22533327,23287854,24200344
08014,"Broomfield, CO*",4227891,4413571,4773215,5712947,6328393,7102666,6841193,6408725,6603730
08015,"Chaffee, CO",566116,596870,604825,601418,611438,596429,615971,636681,664836
08017,"Cheyenne, CO",167491,147242,205850,208036,184097,158608,186339,161546,134159
08019,"Clear Creek, CO",616814,653625,632683,619827,615536,534474,604011,589966,607705
08021,"Conejos, CO",125290,138958,166369,133601,154370,142729,157943,164223,190559
08023,"Costilla, CO",76187,75538,85446,73208,88409,71513,82916,79926,87203
