"CAINC1 County personal income summary: personal income, population, per capita personal income"
"CAINC1 County personal income summary: personal income, population, per capita personal income"
County
GeoFIPS,GeoName,2001,2002,2003,2004,2005,2006
12035,"Flagler, FL",26781,26793,27551,28636,31076,33094
12037,"Franklin, FL",23826,25084,26240,28387,29275,28406
12039,"Gadsden, FL",21908,22931,23800,25302,26472,27386
12041,"Gilchrist, FL",22342,22073,22093,23802,23610,24009
12043,"Glades, FL",17986,17766,17644,17814,17927,19094
12045,"Gulf, FL",18914,19590,20249,22175,23095,23987
12047,"Hamilton, FL",14723,14884,16015,17375,18996,19376
12049,"Hardee, FL",18644,18482,18789,19718,21204,21227
12051,"Hendry, FL",20558,21148,20464,21004,21748,23224
12053,"Hernando, FL",24603,25159,26021,26598,27336,28618
12055,"Highlands, FL",21458,22210,22875,23578,24564,26009
12057,"Hillsborough, FL",29637,30035,31390,33379,35017,36598
12059,"Holmes, FL",19498,19354,19644,20634,21404,22279
12061,"Indian River, FL",42195,42365,43956,49041,53146,59308
12063,"Jackson, FL",20344,21308,22956,22829,24536,24924
12065,"Jefferson, FL",26927,26236,26969,27290,28314,29182
12067,"Lafayette, FL",16493,15345,15954,17521,16919,16298
12069,"Lake, FL",26809,26976,28416,29396,30519,31931
12071,"Lee, FL",31218,31160,32466,35764,37361,40983
12073,"Leon, FL",29305,29796,30443,31907,33320,34230
12075,"Levy, FL",21075,21016,21931,23470,24832,25546
12077,"Liberty, FL",19345,19706,20582,21779,22333,23764
12079,"Madison, FL",18303,18782,19314,20269,20927,21540
12081,"Manatee, FL",30617,31012,31696,34248,37049,39528
12083,"Marion, FL",24276,24264,25051,26209,27892,29618
12085,"Martin, FL",45915,45103,46793,50926,54969,61079
12086,"Miami-Dade, FL",28347,28982,29583,31601,33711,36544
12087,"Monroe, FL",41114,41205,43126,48309,54898,62660
12089,"Nassau, FL",32697,33521,34701,37108,39305,42018
12091,"Okaloosa, FL",30352,32042,34678,35835,37677,39318
12093,"Okeechobee, FL",19095,19362,20057,21725,23181,23755
12095,"Orange, FL",26960,27291,28208,29781,31413,33484
12097,"Osceola, FL",21694,22173,22801,23386,24856,25366
12099,"Palm Beach, FL",45567,45221,45758,49105,53454,58160
12101,"Pasco, FL",24307,25031,26224,27317,28410,29962
12103,"Pinellas, FL",32804,33483,34434,35927,38012,40092
12105,"Polk, FL",25723,25829,26608,27899,29239,29444
12107,"Putnam, FL",20812,21461,22511,22904,23577,24330
12109,"St. Johns, FL",40055,39512,40499,44646,47441,51392
12111,"St. Lucie, FL",24023,24616,25398,27444,28879,29592
12113,"Santa Rosa, FL",27300,27377,28596,30105,31677,33717
12115,"Sarasota, FL",39411,39576,40736,43848,46142,49113
12117,"Seminole, FL",32664,32710,33545,35285,36725,38518
12119,"Sumter, FL",17515,18220,19907,22291,24342,25956
12121,"Suwannee, FL",20656,20717,21362,22820,23468,24692
12123,"Taylor, FL",22453,22725,22591,23918,24539,24904
12125,"Union, FL",14670,14685,15508,15564,15762,16238
12127,"Volusia, FL",25587,26415,27580,29230,30392,31880
12129,"Wakulla, FL",24832,24235,25143,25778,26645,27532
12131,"Walton, FL",22156,23570,25847,30312,32906,35916
12133,"Washington, FL",19282,20044,21131,22494,23865,24473
13001,"Appling, GA",19691,19649,20590,21308,22248,22416
13003,"Atkinson, GA",18767,18623,19431,20480,21343,21034
13005,"Bacon, GA",20304,19689,20478,21199,21474,21264
